reference,gene_name
Q8TDU5,VNRL4
Q8TDT2,GP152
Q8TDS7,MRGRD
Q8TDS5,OXER1
Q8TDS4,HCAR2
Q8TDR4,TCP1L
Q8TDR2,STK35
Q8TDR0,MIPT3
Q8TDQ7,GNPI2
Q8TDQ4,Q8TDQ4
Q8TDQ1,CLM1
Q8TDQ0,HAVR2
Q8TDP5,Q8TDP5
Q8TDP4,Q8TDP4
Q8TDP1,RNH2C
Q8TDN7,ACER1
Q8TDN6,BRX1
Q8TDN4,CABL1
Q8TDN2,KCNV2
Q8TDN1,KCNG4
Q8TDM6,DLG5
Q8TDM5,SACA4
Q8TDM0,BCAS4
Q8TDL5,BPIB1
Q8TDJ6,DMXL2
Q8TDI8,TMC1
Q8TDI7,TMC2
Q8TDI0,CHD5
Q8TDH9,BL1S5
Q8TDG4,HELQ
Q8TDG2,ACTT1
Q8TDF6,GRP4
Q8TDF5,NETO1
Q8TDE3,RNAS8
Q8TDD5,MCLN3
Q8TDD2,SP7
Q8TDD1,DDX54
Q8TDC3,BRSK1
Q8TDC0,MYOZ3
Q8TDB8,GTR14
Q8TDB6,DTX3L
Q8TDB4,HUMMR
Q8TD94,KLF14
Q8TD91,MAGC3
Q8TD90,MAGE2
Q8TD86,CALL6
Q8TD84,DSCL1
Q8TD57,DYH3
Q8TD55,PKHO2
Q8TD49,Q8TD49
Q8TD47,RS4Y2
Q8TD46,MO2R1
Q8TD43,TRPM4
Q8TD35,LKAM1
Q8TD33,SG1C1
Q8TD31,CCHCR
Q8TD30,ALAT2
Q8TD26,CHD6
Q8TD23,ZN675
Q8TD22,SFXN5
Q8TD20,GTR12
Q8TD19,NEK9
Q8TD17,ZN398
Q8TD16,BICD2
Q8TD10,MIPO1
Q8TD08,MK15
Q8TD07,RAE1E
Q8TD06,AGR3
Q8TCZ7,CU074
Q8TCZ2,C99L2
Q8TCY9,URGCP
Q8TCY5,MRAP
Q8TCY0,SI11B
Q8TCX7,Q8TCX7
Q8TCX5,RHPN1
Q8TCX1,DC2L1
Q8TCW9,PKR1
Q8TCW7,ZPLD1
Q8TCV5,WFDC5
Q8TCU6,PREX1
Q8TCU5,NMD3A
Q8TCU4,ALMS1
Q8TCU3,S7A13
Q8TCT9,HM13
Q8TCT8,SPP2A
Q8TCT7,SPP2B
Q8TCT6,SPPL3
Q8TCT1,PHOP1
Q8TCT0,CERK1
Q8TCS8,PNPT1
Q8TCQ1,MARH1
Q8TCP9,F200A
Q8TCN5,ZN507
Q8TCJ2,STT3B
Q8TCJ0,FBX25
Q8TCI5,PIFO
Q8TCH9,YV004
Q8TCH1,Q8TCH1
Q8TCG5,CPT1C
Q8TCG2,P4K2B
Q8TCG1,CIP2A
Q8TCF1,ZFAN1
Q8TCE9,PPL13
Q8TCE6,DEN10
Q8TCE1,Q8TCE1
Q8TCD6,PHOP2
Q8TCD5,NT5C
Q8TCD1,CR032
Q8TCC7,S22A8
Q8TCC6,Q8TCC6
Q8TCC3,RM30
Q8TCB7,METL6
Q8TCB6,O51E1
Q8TCB0,IFI44
Q8TCA0,LRC20
Q8TC99,FNDC8
Q8TC94,ACTL9
Q8TC92,ENOX1
Q8TC90,CCER1
Q8TC84,FANK1
Q8TC76,F110B
Q8TC71,MIEAP
Q8TC59,PIWL2
Q8TC57,M1AP
Q8TC56,FA71B
Q8TC44,POC1B
Q8TC41,RN217
Q8TC36,SUN5
Q8TC29,ENKUR
Q8TC27,ADA32
Q8TC26,TM163
Q8TC24,Q8TC24
Q8TC21,ZN596
Q8TC20,CAGE1
Q8TC17,GRAPL
Q8TC12,RDH11
Q8TC07,TBC15
Q8TC05,MDM1
Q8TBZ9,TEX47
Q8TBZ8,ZN564
Q8TBZ6,TM10A
Q8TBZ5,ZN502
Q8TBZ3,WDR20
Q8TBZ2,MYBPP
Q8TBZ0,CC110
Q8TBY9,CF251
Q8TBY8,PMFBP
Q8TBY0,RBM46
Q8TBX8,PI42C
Q8TBR7,TLC3A
Q8TBR5,CSAS1
Q8TBR4,ST3L4
Q8TBQ9,KISHA
Q8TBP6,S2540
Q8TBP5,F174A
Q8TBP0,TBC16
Q8TBN0,R3GEF
Q8TBM8,DJB14
Q8TBM7,TM254
Q8TBM3,Q8TBM3
Q8TBL5,Q8TBL5
Q8TBK6,ZCH10
Q8TBK2,SETD6
Q8TBJ5,FEZF2
Q8TBJ4,PLPR1
Q8TBH0,ARRD2
Q8TBG9,SYNPR
Q8TBG4,AT2L1
Q8TBF8,FA81A
Q8TBF5,PIGX
Q8TBF4,ZCRB1
Q8TBF2,PXL2B
Q8TBE9,"NANP"
Q8TBE7,S35G2
Q8TBE3,FNDC9
Q8TBE1,CNIH3
Q8TBE0,BAHD1
Q8TBC5,ZSC18
Q8TBC4,UBA3
Q8TBC3,SHKB1
Q8TBB7,Q8TBB7
Q8TBB6,S7A14
Q8TBB5,KLDC4
Q8TBB1,LNX1
Q8TBB0,THAP6
Q8TBA6,GOGA5
Q8TB96,TIP
Q8TB92,HMGC2
Q8TB73,NDNF
Q8TB72,PUM2
Q8TB69,ZN519
Q8TB68,PRR7
Q8TB61,S35B2
Q8TB52,FBX30
Q8TB45,DPTOR
Q8TB40,ABHD4
Q8TB37,NUBPL
Q8TB36,GDAP1
Q8TB33,CX024
Q8TB24,RIN3
Q8TB22,SPT20
Q8TB05,UBAD1
Q8TB03,CX038
Q8TAZ6,CKLF2
Q8TAY7,F110D
Q8TAX9,GSDMB
Q8TAX7,MUC7
Q8TAX0,OSR1
Q8TAW3,ZN671
Q8TAV5,CK045
Q8TAV4,STML3
Q8TAV3,CP2W1
Q8TAV0,FA76A
Q8TAU3,ZN417
Q8TAU0,NKX23
Q8TAT8,YK045
Q8TAT6,NPL4
Q8TAT5,NEIL3
Q8TAT2,FGFP3
Q8TAS1,UHMK1
Q8TAR6,Q8TAR6
Q8TAQ9,SUN3
Q8TAQ5,ZN420
Q8TAQ2,SMRC2
Q8TAP9,MPLKI
Q8TAP8,PPR35
Q8TAP6,CEP76
Q8TAP4,LMO3
Q8TAM6,ERMIN
Q8TAM2,TTC8
Q8TAM1,BBS10
Q8TAL6,FIBIN
Q8TAL5,CI043
Q8TAK6,OLIG1
Q8TAK5,GABP2
Q8TAJ8,Q8TAJ8
Q8TAI7,REBL1
Q8TAI1,TYMOS
Q8TAG9,EXOC6
Q8TAG6,VEXIN
Q8TAG5,VTM2A
Q8TAF8,LHPL5
Q8TAF7,ZN461
Q8TAF5,LQK1
Q8TAF3,WDR48
Q8TAE8,G45IP
Q8TAE7,KCNG3
Q8TAE6,PP14C
Q8TAD8,SNIP1
Q8TAD7,OCC1
Q8TAD4,ZNT5
Q8TAD2,IL17D
Q8TAC9,SCAM5
Q8TAC2,JOS2
Q8TAC1,RFESD
Q8TAB7,CCD26
Q8TAB5,CA216
Q8TAB3,PCD19
Q8TAA9,VANG1
Q8TAA5,GRPE2
Q8TAA3,PSMA8
Q8TAA1,RNS11
Q8TA94,ZN563
Q8TA86,RP9
Q8NI99,ANGL6
Q8NI77,KI18A
Q8NI60,COQ8A
Q8NI51,CTCFL
Q8NI38,IKBD
Q8NI37,PPTC7
Q8NI36,WDR36
Q8NI35,INADL
Q8NI32,LPD6B
Q8NI29,FBX27
Q8NI28,CG013
Q8NI27,THOC2
Q8NI22,MCFD2
Q8NI17,IL31R
Q8NI08,NCOA7
Q8NHZ8,CDC26
Q8NHZ7,MB3L2
Q8NHY6,ZFP28
Q8NHY5,HUS1B
Q8NHY3,GA2L2
Q8NHY2,COP1
Q8NHY0,B4GN2
Q8NHX9,TPC2
Q8NHX4,SPTA3
Q8NHW8,Q8NHW8
Q8NHW6,OTOSP
Q8NHW5,RLA0L
Q8NHW4,CC4L
Q8NHW3,MAFA
Q8NHV9,RHXF1
Q8NHV5,MOSMO
Q8NHV4,NEDD1
Q8NHV1,GIMA7
Q8NHU6,TDRD7
Q8NHU3,SMS2
Q8NHU2,CFA61
Q8NHU0,CT453
Q8NHS9,SPT22
Q8NHS7,Q8NHS7
Q8NHS4,CLHC1
Q8NHS3,MFSD8
Q8NHS2,AATC2
Q8NHS1,CLDN2
Q8NHS0,DNJB8
Q8NHR9,PROF4
Q8NHR7,TERB2
Q8NHQ9,DDX55
Q8NHQ8,RASF8
Q8NHQ1,CEP70
Q8NHP8,PLBL2
Q8NHP7,EXD1
Q8NHP6,MSPD2
Q8NHP1,ARK74
Q8NHM5,KDM2B
Q8NHM4,TRY6
Q8NHL6,LIRB1
Q8NHK7,Q8NHK7
Q8NHK6,Q8NHK6
Q8NHK3,KI2LB
Q8NHJ6,LIRB4
Q8NHH9,ATLA2
Q8NHH1,TTL11
Q8NHG8,ZNRF2
Q8NHG7,SVIP
Q8NHE4,VA0E2
Q8NHC8,OR2T6
Q8NHC7,O14CZ
Q8NHC6,O14L1
Q8NHC5,O14AG
Q8NHC4,O10J5
Q8NHB8,OR5K2
Q8NHB7,OR5K1
Q8NHB1,OR2V1
Q8NHA8,OR1FC
Q8NHA6,OR2W6
Q8NHA4,O2AE1
Q8NH95,O13C6
Q8NH94,OR1L1
Q8NH93,OR1L3
Q8NH92,OR1S1
Q8NH90,O5AK2
Q8NH89,O5AK3
Q8NH87,OR9G1
Q8NH85,OR5R1
Q8NH83,OR4A5
Q8NH81,O10G6
Q8NH80,O10D3
Q8NH79,OR6X1
Q8NH76,O56B4
Q8NH74,O10A6
Q8NH73,OR4S2
Q8NH72,OR4C6
Q8NH70,O4A16
Q8NH69,OR5W2
Q8NH67,O52I2
Q8NH64,O51A7
Q8NH63,O51H1
Q8NH61,O51F2
Q8NH60,O52J3
Q8NH59,O51Q1
Q8NH57,O52P1
Q8NH56,O52N5
Q8NH55,O52E5
Q8NH54,O56A3
Q8NH53,O52N1
Q8NH51,OR8K3
Q8NH50,OR8K5
Q8NH49,OR4X1
Q8NH48,OR5B3
Q8NH43,OR4L1
Q8NH42,OR4KD
Q8NH41,OR4KF
Q8NH40,OR6S1
Q8NH37,OR4C3
Q8NH21,OR4F5
Q8NH19,O10AG
Q8NH18,OR5J2
Q8NH16,OR2L2
Q8NH10,OR8U1
Q8NH09,OR8S1
Q8NH08,O10AC
Q8NH07,O11H2
Q8NH06,OR1P1
Q8NH05,OR4Q3
Q8NH04,O2T27
Q8NH03,OR2T3
Q8NH02,O2T29
Q8NH01,O2T11
Q8NH00,OR2T4
Q8NGZ9,O2T10
Q8NGZ6,OR6F1
Q8NGZ5,OR2G2
Q8NGZ4,OR2G3
Q8NGZ3,O13G1
Q8NGZ2,O14K1
Q8NGZ0,O2AJ1
Q8NGY9,OR2L8
Q8NGY7,O10J6
Q8NGY6,OR6N2
Q8NGY5,OR6N1
Q8NGY3,OR6K3
Q8NGY2,OR6K2
Q8NGY1,O10Z1
Q8NGY0,O10X1
Q8NGX9,OR6P1
Q8NGX8,OR6Y1
Q8NGX6,O10R2
Q8NGX5,O10K1
Q8NGX3,O10T2
Q8NGX2,O2T35
Q8NGX1,O2T34
Q8NGX0,O11L1
Q8NGW6,OR6K6
Q8NGW1,OR6B3
Q8NGV7,OR5H2
Q8NGV6,OR5H6
Q8NGV5,O13D1
Q8NGV0,OR2Y1
Q8NGU9,GP150
Q8NGU4,OR2I1
Q8NGU2,OR9A4
Q8NGU1,OR9A1
Q8NGT9,OR2A1
Q8NGT7,O2A12
Q8NGT5,OR9A2
Q8NGT2,O13J1
Q8NGT1,OR2K2
Q8NGT0,O13C9
Q8NGS9,O13C2
Q8NGS8,O13C5
Q8NGS7,O13C8
Q8NGS6,O13C3
Q8NGS5,O13C4
Q8NGS4,O13F1
Q8NGS3,OR1J1
Q8NGS2,OR1J2
Q8NGS1,OR1J4
Q8NGS0,OR1N1
Q8NGR9,OR1N2
Q8NGR8,OR1L8
Q8NGR6,OR1B1
Q8NGR5,OR1L4
Q8NGR4,OR5C1
Q8NGR3,OR1K1
Q8NGR2,OR1L6
Q8NGR1,O13A1
Q8NGQ6,OR9I1
Q8NGQ5,OR9Q1
Q8NGQ4,O10Q1
Q8NGQ3,OR1S2
Q8NGQ2,OR6Q1
Q8NGQ1,OR9G4
Q8NGP9,O5AR1
Q8NGP8,OR5M1
Q8NGP6,OR5M8
Q8NGP4,OR5M3
Q8NGP3,OR5M9
Q8NGP2,OR8J1
Q8NGP0,OR4CD
Q8NGN8,OR4A4
Q8NGN7,O10D4
Q8NGN6,O10G7
Q8NGN5,O10G8
Q8NGN4,O10G9
Q8NGN3,O10G4
Q8NGN2,O10S1
Q8NGN1,OR6T1
Q8NGN0,OR4D5
Q8NGM9,OR8D4
Q8NGM8,OR6M1
Q8NGM1,OR4CF
Q8NGL9,OR4CG
Q8NGL7,OR4P4
Q8NGL6,O4A15
Q8NGL4,OR5DD
Q8NGL3,OR5DE
Q8NGL2,OR5L1
Q8NGL1,OR5DI
Q8NGL0,OR5L2
Q8NGK9,OR5DG
Q8NGK6,O52I1
Q8NGK5,O52M1
Q8NGK4,O52K1
Q8NGK3,O52K2
Q8NGK2,O52B4
Q8NGK1,O51G1
Q8NGK0,O51G2
Q8NGJ9,O51T1
Q8NGJ8,O51S1
Q8NGJ7,O51A2
Q8NGJ6,O51A4
Q8NGJ5,O51L1
Q8NGJ4,O52E2
Q8NGJ3,O52E1
Q8NGJ2,O52H1
Q8NGJ1,OR4D6
Q8NGJ0,OR5A1
Q8NGI9,OR5A2
Q8NGI8,O5AN1
Q8NGI7,O10V1
Q8NGI6,OR4DA
Q8NGI4,OR4DB
Q8NGI3,O56B1
Q8NGI2,O52N4
Q8NGI1,O56B2
Q8NGI0,O52N2
Q8NGH9,O52E4
Q8NGH8,O56A4
Q8NGH7,O52L1
Q8NGH6,O52L2
Q8NGH5,O56A1
Q8NGH3,OR2D3
Q8NGG8,OR8B3
Q8NGG7,OR8A1
Q8NGG6,OR8BC
Q8NGG5,OR8K1
Q8NGG4,OR8H1
Q8NGG3,OR5T3
Q8NGG2,OR5T2
Q8NGG1,OR8J2
Q8NGG0,OR8J3
Q8NGF9,OR4X2
Q8NGF8,OR4B1
Q8NGF7,OR5BH
Q8NGF6,O10W1
Q8NGF4,O5AP2
Q8NGF3,O51D1
Q8NGF1,O52R1
Q8NGF0,O52B6
Q8NGE9,OR9Q2
Q8NGE8,OR4D9
Q8NGE7,OR9K2
Q8NGE5,O10A7
Q8NGE3,O10P1
Q8NGE2,O2AP1
Q8NGE1,OR6C4
Q8NGE0,O10AD
Q8NGD5,OR4KE
Q8NGD4,OR4K1
Q8NGD3,OR4K5
Q8NGD2,OR4K2
Q8NGD1,OR4N2
Q8NGD0,OR4M1
Q8NGC9,O11H4
Q8NGC8,O11H7
Q8NGC7,O11H6
Q8NGC6,OR4KH
Q8NGC5,OR6J1
Q8NGC4,O10G3
Q8NGC3,O10G2
Q8NGC2,OR4E2
Q8NGC1,O11G2
Q8NGC0,O5AU1
Q8NGB9,OR4F6
Q8NGB8,O4F15
Q8NGB6,OR4M2
Q8NGB4,OR4S1
Q8NGB2,OR4C5
Q8NGA8,O4F17
Q8NGA6,O10H5
Q8NGA5,O10H4
Q8NGA4,G32P1
Q8NGA2,OR7A2
Q8NGA1,OR1M1
Q8NGA0,OR7G1
Q8NG99,OR7G2
Q8NG98,OR7D4
Q8NG97,OR2Z1
Q8NG95,OR7G3
Q8NG94,O11H1
Q8NG92,O13H1
Q8NG85,OR2L3
Q8NG84,O2AK2
Q8NG83,OR2M3
Q8NG81,OR2M7
Q8NG80,OR2L5
Q8NG78,OR8G5
Q8NG77,O2T12
Q8NG76,O2T33
Q8NG75,OR5T1
Q8NG68,TTL
Q8NG66,NEK11
Q8NG57,ELOA3
Q8NG50,RDM1
Q8NG48,LINES
Q8NG45,Q8NG45
Q8NG44,Q8NG44
Q8NG42,Q8NG42
Q8NG41,NPB
Q8NG35,D105A
Q8NG31,KNL1
Q8NG27,PJA1
Q8NG11,TSN14
Q8NG08,HELB
Q8NG06,TRI58
Q8NG04,S2610
Q8NFZ8,CADM4
Q8NFZ6,VN1R2
Q8NFZ5,TNIP2
Q8NFZ4,NLGN2
Q8NFZ3,NLGNY
Q8NFZ0,FBH1
Q8NFY9,KBTB8
Q8NFY4,SEM6D
Q8NFX7,STXB6
Q8NFW9,MYRIP
Q8NFW8,NEUA
Q8NFW5,DMBX1
Q8NFW1,COMA1
Q8NFV5,SPDE1
Q8NFV4,ABHDB
Q8NFU7,TET1
Q8NFU5,IPMK
Q8NFU4,FDSCP
Q8NFU3,TSTD1
Q8NFU1,BEST2
Q8NFU0,BEST4
Q8NFT8,DNER
Q8NFT6,DBF4B
Q8NFT2,STEA2
Q8NFR9,I17RE
Q8NFR7,CC148
Q8NFR3,SPTSB
Q8NFQ8,TOIP2
Q8NFQ6,BPIFC
Q8NFQ5,BPIB6
Q8NFP9,NBEA
Q8NFP7,NUD10
Q8NFP4,MDGA1
Q8NFP0,PXT1
Q8NFN8,GP156
Q8NFM7,I17RD
Q8NFM4,ADCY4
Q8NFL0,B3GN7
Q8NFK1,CXG3
Q8NFJ9,BBS1
Q8NFJ8,BHE22
Q8NFJ6,PKR2
Q8NFJ5,RAI3
Q8NFI4,F10A5
Q8NFI3,ENASE
Q8NFH8,REPS2
Q8NFH5,NUP35
Q8NFH4,NUP37
Q8NFH3,NUP43
Q8NFG4,FLCN
Q8NFF5,FAD1
Q8NFF2,NCKX4
Q8NFD5,ARI1B
Q8NFD4,YI018
Q8NFD2,ANKK1
Q8NFC6,BD1L1
Q8NFB2,T185A
Q8NFA2,NOXO1
Q8NFA0,UBP32
Q8NF99,ZN397
Q8NF91,SYNE1
Q8NF86,PRS33
Q8NF67,A2012
Q8NF64,ZMIZ2
Q8NF50,DOCK8
Q8NF37,PCAT1
Q8NEZ5,FBX22
Q8NEZ4,KMT2C
Q8NEZ3,WDR19
Q8NEZ2,VP37A
Q8NEY8,PPHLN
Q8NEY4,VATC2
Q8NEY3,SPAT4
Q8NEY1,"NAV1"
Q8NEX9,DR9C7
Q8NEX6,WFD11
Q8NEX5,WFDC9
Q8NEW7,TMIE
Q8NEW0,ZNT7
Q8NEV9,IL27A
Q8NEV8,EXPH5
Q8NEV4,MYO3A
Q8NEV1,CSK23
Q8NEU8,DP13B
Q8NET8,TRPV3
Q8NET6,CHSTD
Q8NET5,NFAM1
Q8NET4,RTL9
Q8NET1,D108B
Q8NES8,DB124
Q8NES3,LFNG
Q8NER5,ACV1C
Q8NER1,TRPV1
Q8NEQ6,SRARP
Q8NEQ5,CA162
Q8NEP9,ZN555
Q8NEP7,KLDC9
Q8NEP4,CQ047
Q8NEP3,DAAF1
Q8NEN9,PDZD8
Q8NEN0,ARMC2
Q8NEM8,CBPC3
Q8NEM7,SP20H
Q8NEM2,SHCBP
Q8NEM1,ZN680
Q8NEM0,MCPH1
Q8NEL9,DDHD1
Q8NEL0,CCD54
Q8NEK8,TET5D
Q8NEK5,ZN548
Q8NEJ9,NGDN
Q8NEJ0,DUS18
Q8NEH6,MNS1
Q8NEG7,DEN6B
Q8NEG5,ZSWM2
Q8NEG4,FA83F
Q8NEG2,CG057
Q8NEG0,FA71C
Q8NEF9,SRFB1
Q8NEF3,CC112
Q8NEE8,TTC16
Q8NEE6,DRC6
Q8NEE0,KLAS1
Q8NEC7,GSTCD
Q8NEC6,Q8NEC6
Q8NEC5,CTSR1
Q8NEB9,PK3C3
Q8NEB7,ACRBP
Q8NEB5,PLPP5
Q8NEA9,GMCL2
Q8NEA6,GLIS3
Q8NEA5,CS018
Q8NEA4,FBX36
Q8NE86,MCU
Q8NE79,POPD1
Q8NE73,Q8NE73
Q8NE71,ABCF1
Q8NE65,ZN738
Q8NE63,HIPK4
Q8NE62,CHDH
Q8NE35,CPEB3
Q8NE31,FA13C
Q8NE28,STKL1
Q8NE22,SETD9
Q8NE18,NSUN7
Q8NE09,RGS22
Q8NE01,CNNM3
Q8NE00,TM104
Q8NDZ6,T161B
Q8NDZ4,DIK2A
Q8NDZ2,SIMC1
Q8NDZ0,BEND2
Q8NDY8,TMM52
Q8NDY6,BHE23
Q8NDY4,MDS2
Q8NDY3,ARHL1
Q8NDX9,LY65B
Q8NDX6,ZN740
Q8NDX5,PHC3
Q8NDX2,VGLU3
Q8NDX1,PSD4
Q8NDW8,TT21A
Q8NDW4,ZN248
Q8NDV7,TNR6A
Q8NDV3,SMC1B
Q8NDV2,GPR26
Q8NDV1,SIA7C
Q8NDT2,RB15B
Q8NDQ6,ZN540
Q8NDP7,Q8NDP7
Q8NDP4,ZN439
Q8NDN9,RCBT1
Q8NDN3,Q8NDN3
Q8NDM7,CFA43
Q8NDL9,CBPC5
Q8NDI1,EHBP1
Q8NDH6,ICA1L
Q8NDH3,PEPL1
Q8NDH2,CC168
Q8NDG6,TDRD9
Q8NDF8,PAPD5
Q8NDD1,CA131
Q8NDC4,MORN4
Q8NDC0,MISSL
Q8NDB6,FA156
Q8NDB2,BANK1
Q8NDA8,MROH1
Q8NDA2,HMCN2
Q8ND98,Q8ND98
Q8ND94,LRN4L
Q8ND90,PNMA1
Q8ND83,SLAI1
Q8ND82,Z280C
Q8ND76,CCNY
Q8ND71,GIMA8
Q8ND61,CC020
Q8ND56,LS14A
Q8ND30,LIPB2
Q8ND25,ZNRF1
Q8ND24,RN214
Q8ND23,CARL3
Q8ND07,BBOF1
Q8ND04,SMG8
Q8NCY6,MSD4
Q8NCX0,CC150
Q8NCW6,GLT11
Q8NCW5,NNRE
Q8NCW4,Q8NCW4
Q8NCW0,KREM2
Q8NCV1,ADAD2
Q8NCU8,MTLN
Q8NCU7,C2C4A
Q8NCU4,CC191
Q8NCU1,CC197
Q8NCT3,K0895
Q8NCT1,ARRD4
Q8NCS7,CTL5
Q8NCS4,TM35B
Q8NCR9,CLRN3
Q8NCR6,SMRP1
Q8NCR3,MFI
Q8NCR0,B3GL2
Q8NCQ7,PRCA1
Q8NCQ5,FBX15
Q8NCQ3,NC301
Q8NCQ2,CNAS1
Q8NCP5,ZBT44
Q8NCN5,PDPR
Q8NCN4,RN169
Q8NCN2,ZBT34
Q8NCM8,DYHC2
Q8NCM2,KCNH5
Q8NCL9,APCDL
Q8NCL8,TM116
Q8NCL4,GALT6
Q8NCK7,MOT11
Q8NCK3,ZN485
Q8NCJ5,SPRY3
Q8NCI6,GLBL3
Q8NCH0,CHSTE
Q8NCG7,DGLB
Q8NCG5,CHST4
Q8NCF5,NF2IP
Q8NCF0,CL18C
Q8NCE2,MTMRE
Q8NCE0,SEN2
Q8NCD3,HJURP
Q8NCC5,SPX3
Q8NCC3,PAG15
Q8NCB2,CAMKV
Q8NCA9,ZN784
Q8NCA5,FA98A
Q8NC96,NECP1
Q8NC74,RB8NL
Q8NC69,KCTD6
Q8NC67,NETO2
Q8NC60,NOA1
Q8NC56,LEMD2
Q8NC54,KCT2
Q8NC51,PAIRB
Q8NC44,RETR2
Q8NC42,RN149
Q8NC38,CA213
Q8NC26,ZN114
Q8NC24,RELL2
Q8NC06,ACBD4
Q8NC01,CLC1A
Q8NBZ9,NEAS1
Q8NBZ7,UXS1
Q8NBZ0,IN80E
Q8NBY1,Q8NBY1
Q8NBX0,SCPDL
Q8NBW4,S38A9
Q8NBV8,SYT8
Q8NBV4,PLPP7
Q8NBU5,ATAD1
Q8NBU1,Q8NBU1
Q8NBT3,TM145
Q8NBT2,SPC24
Q8NBT0,POC1A
Q8NBS9,TXND5
Q8NBS3,S4A11
Q8NBR9,CK072
Q8NBR6,MINY2
Q8NBR0,P5I13
Q8NBQ7,AQP11
Q8NBQ5,DHB11
Q8NBP7,PCSK9
Q8NBP5,MFSD9
Q8NBP0,TTC13
Q8NBN7,RDH13
Q8NBN3,TM87A
Q8NBM8,PCYXL
Q8NBM4,UBAC2
Q8NBL3,T178A
Q8NBL1,PGLT1
Q8NBK3,SUMF1
Q8NBJ9,SIDT2
Q8NBJ7,SUMF2
Q8NBJ5,GT251
Q8NBJ4,GOLM1
Q8NBI6,XXLT1
Q8NBI5,S43A3
Q8NBI3,DRAXI
Q8NBI2,CYAC3
Q8NBH2,KY
Q8NBF6,AVL9
Q8NBF4,YG006
Q8NBF2,NHLC2
Q8NBF1,GLIS1
Q8NBE8,KLH23
Q8NBD8,T229B
Q8NBC4,CT203
Q8NBB4,ZSCA1
Q8NBB2,STAS1
Q8NBA8,DTWD2
Q8NB91,FANCB
Q8NB90,AFG2H
Q8NB78,KDM1B
Q8NB66,UN13C
Q8NB59,SYT14
Q8NB50,ZFP62
Q8NB49,AT11C
Q8NB46,ANR52
Q8NB42,ZN527
Q8NB37,GALD1
Q8NB25,F184A
Q8NB16,MLKL
Q8NB15,ZN511
Q8NB14,UBP38
Q8NB12,SMYD1
Q8NAX2,KDF1
Q8NAV2,CH058
Q8NAV1,PR38A
Q8NAU1,FNDC5
Q8NAT2,TDRD5
Q8NAT1,PMGT2
Q8NAS9,CE017
Q8NAQ8,YP023
Q8NAP8,ZBT8B
Q8NAP3,ZBT38
Q8NAP1,CAST3
Q8NAN2,MIGA1
Q8NAM6,ZSCA4
Q8NAJ2,CI106
Q8NAG6,ANKL1
Q8NAF0,ZN579
Q8NAE3,CA180
Q8NAC3,I17RC
Q8NAB2,KBTB3
Q8NAA6,CO053
Q8NAA5,LR75A
Q8NAA4,A16L2
Q8NA97,FEAS1
Q8NA96,YE027
Q8NA92,THAP8
Q8NA82,MARHA
Q8NA77,TEX19
Q8NA75,DC4L2
Q8NA72,POC5
Q8NA70,FA47B
Q8NA69,TEX45
Q8NA66,CNBD1
Q8NA61,CBY2
Q8NA58,PNDC1
Q8NA57,CL050
Q8NA56,TTC29
Q8NA54,IQUB
Q8NA47,CCD63
Q8NA42,ZN383
Q8NA31,TERB1
Q8NA29,NLS1
Q8NA23,WDR31
Q8NA19,LMBL4
Q8NA03,FSIP1
Q8N9Z9,LMTD1
Q8N9Z2,CC71L
Q8N9Z0,ZN610
Q8N9Y4,F181A
Q8N9X5,TMM75
Q8N9X3,YA026
Q8N9W8,FA71D
Q8N9W7,YO010
Q8N9W6,BOLL
Q8N9W5,DAAF3
Q8N9W4,GG6L2
Q8N9V7,TOPZ1
Q8N9V6,ANR53
Q8N9V3,WSDU1
Q8N9V2,TRIML
Q8N9U9,SPOT1
Q8N9U0,TAC2N
Q8N9T8,KRI1
Q8N9T2,CX042
Q8N9S9,SNX31
Q8N9R8,SCAI
Q8N9R6,CDRT4
Q8N9R0,CP081
Q8N9Q2,SR1IP
Q8N9P6,CI163
Q8N9P0,YF006
Q8N9N8,EIF1A
Q8N9N7,LRC57
Q8N9N5,BANP
Q8N9N2,ASCC1
Q8N9M5,TM102
Q8N9M3,Q8N9M3
Q8N9M1,CS047
Q8N9L9,ACOT4
Q8N9L7,YV006
Q8N9L1,ZIC4
Q8N9K5,ZN565
Q8N9I9,DTX3
Q8N9I5,FADS6
Q8N9I0,SYT2
Q8N9H9,CA127
Q8N9H8,MUT7
Q8N9H6,CH031
Q8N9G6,YJ012
Q8N9G1,Q8N9G1
Q8N9F8,ZN454
Q8N9F7,GDPD1
Q8N9F0,"NAT8L"
Q8N9E0,F133A
Q8N9C0,IGS22
Q8N9B8,RGF1A
Q8N9B5,JMY
Q8N9B4,ANR42
Q8N9A8,NEPR1
Q8N999,CL029
Q8N998,CCD89
Q8N988,ZN557
Q8N987,NECA1
Q8N983,RM43
Q8N976,YG039
Q8N972,ZN709
Q8N967,LRTM2
Q8N966,ZDH22
Q8N961,ABTB2
Q8N960,CE120
Q8N957,ANKF1
Q8N954,GPT11
Q8N945,PRLD2
Q8N944,AMER3
Q8N912,NRAC
Q8N910,CO056
Q8N907,DAND5
Q8N8Z8,ZN441
Q8N8Z6,DCBD1
Q8N8Z3,PRR26
Q8N8Y5,ZFP41
Q8N8Y2,VA0D2
Q8N8Y1,Q8N8Y1
Q8N8X9,MB213
