reference,gene_name
X6R4J9,X6R4J9
X6R4H8,X6R4H8
X6R4D2,X6R4D2
X6R4A7,X6R4A7
X6R488,X6R488
X6R456,X6R456
X6R413,X6R413
X6R3Y6,X6R3Y6
X6R3U4,X6R3U4
X6R3T8,X6R3T8
X6R3S7,X6R3S7
X6R3R3,X6R3R3
X6R3Q3,X6R3Q3
X6R3P0,X6R3P0
X6R3N0,X6R3N0
X6R3L3,X6R3L3
X6R3K3,X6R3K3
X6R3J2,X6R3J2
X6R3I0,X6R3I0
X6R3B1,X6R3B1
X6R390,X6R390
X6R383,X6R383
X6R368,X6R368
X6R344,X6R344
X6R2W0,X6R2W0
X6R2P6,X6R2P6
X6R2L4,X6R2L4
X6R2I3,X6R2I3
X6R242,X6R242
X5DQS5,X5DQS5
X5D7Y5,X5D7Y5
X5D778,X5D778
X5D2U9,X5D2U9
X5D2U8,X5D2U8
X5D2R7,X5D2R7
X5D146,X5D146
X5CMH5,X5CMH5
X1WI34,X1WI34
X1WI33,X1WI33
X1WI32,X1WI32
X1WI31,X1WI31
X1WI30,X1WI30
X1WI29,X1WI29
X1WI28,X1WI28
X1WI27,X1WI27
X1WI26,X1WI26
X1WI25,X1WI25
X1WI24,X1WI24
X1WI22,X1WI22
W6CW81,PYDC5
W5XKT8,SACA6
W5RWE6,W5RWE6
W5QJC1,W5QJC1
W4VSR3,W4VSR3
W4VSR2,W4VSR2
W4VSQ9,W4VSQ9
W4VSQ8,W4VSQ8
W4VSQ7,W4VSQ7
W4VSQ5,W4VSQ5
W4VSQ3,W4VSQ3
W0Z7M9,W0Z7M9
W0S4B9,W0S4B9
V9P921,V9P921
V9HW50,V9HW50
V9H0X6,V9H0X6
V9H0V9,V9H0V9
V9GZ78,V9GZ78
V9GZ77,V9GZ77
V9GZ76,V9GZ76
V9GZ75,V9GZ75
V9GZ74,V9GZ74
V9GZ72,V9GZ72
V9GZ71,V9GZ71
V9GZ70,V9GZ70
V9GZ69,V9GZ69
V9GZ68,V9GZ68
V9GZ67,V9GZ67
V9GZ66,V9GZ66
V9GZ65,V9GZ65
V9GZ64,V9GZ64
V9GZ63,V9GZ63
V9GZ62,V9GZ62
V9GZ61,V9GZ61
V9GZ60,V9GZ60
V9GZ59,V9GZ59
V9GZ58,V9GZ58
V9GZ57,V9GZ57
V9GZ56,V9GZ56
V9GZ55,V9GZ55
V9GZ54,V9GZ54
V9GZ53,V9GZ53
V9GZ52,V9GZ52
V9GZ50,V9GZ50
V9GZ49,V9GZ49
V9GZ48,V9GZ48
V9GZ46,V9GZ46
V9GZ45,V9GZ45
V9GZ44,V9GZ44
V9GZ42,V9GZ42
V9GZ41,V9GZ41
V9GZ40,V9GZ40
V9GZ39,V9GZ39
V9GZ38,V9GZ38
V9GZ37,V9GZ37
V9GZ32,V9GZ32
V9GZ31,V9GZ31
V9GZ30,V9GZ30
V9GZ28,V9GZ28
V9GZ26,V9GZ26
V9GZ25,V9GZ25
V9GZ24,V9GZ24
V9GZ22,V9GZ22
V9GZ20,V9GZ20
V9GZ19,V9GZ19
V9GZ18,V9GZ18
V9GZ17,V9GZ17
V9GZ16,V9GZ16
V9GZ14,V9GZ14
V9GZ13,V9GZ13
V9GZ11,V9GZ11
V9GZ09,V9GZ09
V9GZ08,V9GZ08
V9GZ06,V9GZ06
V9GZ05,V9GZ05
V9GZ04,V9GZ04
V9GZ03,V9GZ03
V9GZ02,V9GZ02
V9GZ01,V9GZ01
V9GZ00,V9GZ00
V9GYZ9,V9GYZ9
V9GYZ8,V9GYZ8
V9GYZ7,V9GYZ7
